,art_no,art_name,hierarchy_level2_desc,hierarchy_level3_desc,date_of_day,store_count,sold_qty_units,total_cust_count,low_stock_warning,unit_price_weekly,unit_discount_weekly
1338,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-02-28,38,151.0,58,0,0.64,0.0
1726,4,500g Speciality Pasta,Extras,Dough,2019-02-28,51,180.0,121,0,1.44,-0.0
2590,22,500g Pasta Rigate,Extras,Dough,2019-02-28,31,154.0,108,0,2.86,-0.0
1211,5,30g Bio Savoury Spices,Spices,Spices II,2019-02-28,10,12.0,11,1,2.72,0.0
2044,19,190g Chilli Flakes,Spices,Spices I,2019-02-28,15,20.0,19,0,6.79,0.0
1592,15,500g Penne,Extras,Dough,2019-02-28,47,220.0,136,0,1.77,-0.0
350,7,30g Bio Thyme,Spices,Spices II,2019-03-07,28,54.0,53,0,2.91,-0.0
137,13,500g Indian Curry,Spices,Spices I,2019-03-07,64,122.0,105,0,6.76,-0.01
446,9,Spiced Salt for Meat,Spices,Spices I,2019-03-07,7,9.0,8,0,6.99,0.0
797,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-07,37,119.0,65,0,1.29,-0.0
691,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-07,27,41.0,35,0,15.77,-0.22
2270,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-07,3,5.0,5,0,3.77,-0.42
7,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-07,17,69.0,33,0,0.89,-0.0
2386,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-07,53,267.0,142,0,1.33,-0.03
1367,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-07,46,144.0,83,0,3.48,-0.01
2485,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-03-07,18,95.0,29,0,0.82,-0.0
1545,11,200g Green Pepper,Spices,Spices I,2019-03-07,37,69.0,51,0,13.49,0.0
1841,16,500g Spaghetti,Extras,Dough,2019-03-07,63,2933.0,1049,0,0.75,-0.0
881,24,1kg Gnocchi,Extras,Dough,2019-03-07,24,86.0,51,0,2.97,-0.02
1676,4,500g Speciality Pasta,Extras,Dough,2019-03-07,61,908.0,574,0,0.75,-0.0
240,6,80g Bio Pepper Whole,Spices,Spices II,2019-03-07,34,72.0,69,0,3.91,-0.01
1031,21,80g Granulated Onion,Spices,Spices II,2019-03-07,42,93.0,82,0,2.9,-0.01
1174,5,30g Bio Savoury Spices,Spices,Spices II,2019-03-07,11,11.0,11,1,2.72,0.0
1258,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-03-07,24,57.0,34,0,0.88,-0.01
2541,22,500g Pasta Rigate,Extras,Dough,2019-03-07,31,221.0,124,0,2.88,-0.01
1615,15,500g Penne,Extras,Dough,2019-03-07,60,1783.0,831,0,0.76,0.01
1951,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-07,41,189.0,87,0,1.96,-0.03
2059,19,190g Chilli Flakes,Spices,Spices I,2019-03-07,15,24.0,21,0,6.11,-0.68
566,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-03-07,26,116.0,34,0,0.8,0.0
2191,8,40g Chilli Pepper,Spices,Spices I,2019-03-07,1,1.0,1,1,2.49,0.0
135,13,500g Indian Curry,Spices,Spices I,2019-03-14,53,99.0,82,0,6.64,-0.0
1255,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-03-14,27,82.0,42,0,0.71,-0.18
1477,11,200g Green Pepper,Spices,Spices I,2019-03-14,33,48.0,42,0,13.49,0.0
1887,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-14,40,154.0,80,0,1.97,-0.02
412,7,30g Bio Thyme,Spices,Spices II,2019-03-14,31,53.0,52,0,2.91,-0.0
253,6,80g Bio Pepper Whole,Spices,Spices II,2019-03-14,33,53.0,47,0,3.91,0.0
2330,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-14,53,354.0,158,0,1.35,-0.01
1774,4,500g Speciality Pasta,Extras,Dough,2019-03-14,62,843.0,462,0,0.75,0.0
964,21,80g Granulated Onion,Spices,Spices II,2019-03-14,36,80.0,75,0,2.9,-0.0
706,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-14,19,46.0,32,0,14.03,-1.95
1596,15,500g Penne,Extras,Dough,2019-03-14,61,1499.0,661,0,0.75,-0.0
763,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-14,37,98.0,64,0,1.32,-0.01
1378,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-14,48,171.0,96,0,3.49,0.0
421,9,Spiced Salt for Meat,Spices,Spices I,2019-03-14,6,7.0,7,0,6.99,0.0
2247,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-14,3,3.0,3,0,3.77,-0.42
2061,19,190g Chilli Flakes,Spices,Spices I,2019-03-14,19,31.0,26,0,6.11,-0.68
555,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-03-14,34,125.0,59,0,0.63,-0.16
1198,5,30g Bio Savoury Spices,Spices,Spices II,2019-03-14,12,14.0,13,0,2.72,0.0
882,24,1kg Gnocchi,Extras,Dough,2019-03-14,22,106.0,58,0,2.99,0.0
1861,16,500g Spaghetti,Extras,Dough,2019-03-14,63,2358.0,858,0,0.75,0.0
2528,22,500g Pasta Rigate,Extras,Dough,2019-03-14,29,193.0,137,0,2.87,-0.02
2167,8,40g Chilli Pepper,Spices,Spices I,2019-03-14,3,9.0,8,0,2.47,-0.02
95,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-14,32,99.0,41,0,0.71,-0.18
2513,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-03-14,22,79.0,32,0,0.82,0.0
2004,19,190g Chilli Flakes,Spices,Spices I,2019-03-21,19,28.0,23,0,6.79,0.0
1216,5,30g Bio Savoury Spices,Spices,Spices II,2019-03-21,7,10.0,9,1,2.72,0.0
1754,4,500g Speciality Pasta,Extras,Dough,2019-03-21,54,224.0,164,0,1.46,-0.0
328,7,30g Bio Thyme,Spices,Spices II,2019-03-21,30,53.0,53,0,2.9,-0.01
1084,12,45g Pasta,Spices,Spices II,2019-03-21,1,1.0,1,1,3.99,0.0
661,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-21,28,47.0,37,0,15.48,-0.51
1036,21,80g Granulated Onion,Spices,Spices II,2019-03-21,42,98.0,89,0,2.91,-0.0
2297,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-21,4,4.0,4,0,4.19,0.0
2174,8,40g Chilli Pepper,Spices,Spices I,2019-03-21,3,5.0,4,0,2.49,0.0
1947,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-21,46,169.0,95,0,1.96,-0.03
1310,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-03-21,22,53.0,27,0,0.89,-0.0
142,13,500g Indian Curry,Spices,Spices I,2019-03-21,62,120.0,105,0,6.75,0.0
1870,16,500g Spaghetti,Extras,Dough,2019-03-21,55,504.0,235,0,1.71,-0.06
1377,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-21,50,220.0,108,0,3.48,-0.01
529,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-03-21,28,140.0,37,0,0.78,-0.0
268,6,80g Bio Pepper Whole,Spices,Spices II,2019-03-21,35,72.0,68,0,3.91,0.0
2313,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-21,53,223.0,129,0,1.36,-0.0
39,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-21,22,59.0,28,0,0.89,-0.0
2512,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-03-21,24,77.0,29,0,0.82,0.0
1492,11,200g Green Pepper,Spices,Spices I,2019-03-21,28,49.0,39,0,13.46,-0.03
427,9,Spiced Salt for Meat,Spices,Spices I,2019-03-21,6,6.0,6,0,6.99,0.0
878,24,1kg Gnocchi,Extras,Dough,2019-03-21,20,67.0,41,0,2.99,0.0
813,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-21,37,93.0,65,0,1.39,-0.0
2517,22,500g Pasta Rigate,Extras,Dough,2019-03-21,30,207.0,129,0,2.89,-0.0
1582,15,500g Penne,Extras,Dough,2019-03-21,49,283.0,154,0,1.76,-0.01
2573,22,500g Pasta Rigate,Extras,Dough,2019-03-28,30,247.0,125,0,2.88,-0.01
653,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-28,21,36.0,30,0,15.91,-0.08
178,13,500g Indian Curry,Spices,Spices I,2019-03-28,58,131.0,103,0,6.71,-0.01
2212,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-28,5,10.0,6,0,4.19,0.0
319,7,30g Bio Thyme,Spices,Spices II,2019-03-28,27,47.0,44,0,2.9,-0.01
2334,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-28,51,347.0,174,0,1.36,-0.0
1759,4,500g Speciality Pasta,Extras,Dough,2019-03-28,64,1789.0,972,0,0.64,0.0
987,21,80g Granulated Onion,Spices,Spices II,2019-03-28,40,90.0,78,0,2.9,-0.01
2018,19,190g Chilli Flakes,Spices,Spices I,2019-03-28,17,22.0,20,0,6.77,-0.02
2180,8,40g Chilli Pepper,Spices,Spices I,2019-03-28,3,3.0,3,0,2.49,0.0
599,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-03-28,45,355.0,88,0,0.46,0.0
919,24,1kg Gnocchi,Extras,Dough,2019-03-28,25,73.0,50,0,2.99,0.0
776,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-28,44,137.0,88,0,1.38,-0.01
1929,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-28,45,212.0,99,0,1.98,-0.01
265,6,80g Bio Pepper Whole,Spices,Spices II,2019-03-28,27,46.0,43,0,3.88,-0.02
1134,12,45g Pasta,Spices,Spices II,2019-03-28,2,2.0,2,0,3.99,0.0
2496,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-03-28,16,56.0,19,0,0.81,-0.01
1807,16,500g Spaghetti,Extras,Dough,2019-03-28,59,636.0,298,0,1.76,-0.01
473,9,Spiced Salt for Meat,Spices,Spices I,2019-03-28,7,9.0,8,0,6.78,-0.21
1479,11,200g Green Pepper,Spices,Spices I,2019-03-28,25,32.0,27,0,13.45,-0.04
1259,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-03-28,35,98.0,50,0,0.88,-0.01
1649,15,500g Penne,Extras,Dough,2019-03-28,53,298.0,161,0,1.77,-0.0
16,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-03-28,25,73.0,32,0,0.87,-0.02
1202,5,30g Bio Savoury Spices,Spices,Spices II,2019-03-28,11,14.0,14,1,2.71,-0.01
1407,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-03-28,53,250.0,143,0,3.48,-0.01
1849,16,500g Spaghetti,Extras,Dough,2019-04-04,55,550.0,276,0,1.76,-0.01
424,9,Spiced Salt for Meat,Spices,Spices I,2019-04-04,13,14.0,14,0,6.99,0.0
168,13,500g Indian Curry,Spices,Spices I,2019-04-04,66,136.0,119,0,6.75,-0.02
747,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-04,55,175.0,103,0,1.38,-0.01
2538,22,500g Pasta Rigate,Extras,Dough,2019-04-04,32,199.0,135,0,2.88,-0.01
1109,12,45g Pasta,Spices,Spices II,2019-04-04,2,5.0,5,0,3.94,-0.05
845,24,1kg Gnocchi,Extras,Dough,2019-04-04,29,125.0,68,0,2.99,-0.0
1527,11,200g Green Pepper,Spices,Spices I,2019-04-04,19,28.0,26,0,13.46,-0.03
639,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-04,29,58.0,42,0,15.41,-0.58
1937,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-04,47,202.0,121,0,1.95,-0.04
211,6,80g Bio Pepper Whole,Spices,Spices II,2019-04-04,38,86.0,79,0,3.91,-0.0
1152,5,30g Bio Savoury Spices,Spices,Spices II,2019-04-04,9,9.0,9,1,2.72,0.0
2096,8,40g Chilli Pepper,Spices,Spices I,2019-04-04,4,6.0,6,0,2.46,-0.02
1262,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-04-04,31,127.0,45,0,0.86,-0.03
2075,19,190g Chilli Flakes,Spices,Spices I,2019-04-04,15,21.0,17,0,6.79,0.0
316,7,30g Bio Thyme,Spices,Spices II,2019-04-04,25,45.0,43,0,2.91,-0.0
2290,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-04,3,4.0,4,0,4.13,-0.06
596,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-04-04,29,94.0,43,0,0.81,-0.0
971,21,80g Granulated Onion,Spices,Spices II,2019-04-04,42,82.0,78,0,2.91,-0.01
1417,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-04,56,244.0,142,0,3.49,-0.0
2384,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-04,53,301.0,174,0,1.36,-0.0
1748,4,500g Speciality Pasta,Extras,Dough,2019-04-04,61,295.0,203,0,1.45,-0.01
2428,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-04-04,20,65.0,29,0,0.74,-0.08
79,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-04,26,67.0,32,0,0.89,-0.0
1672,15,500g Penne,Extras,Dough,2019-04-04,49,282.0,185,0,1.76,-0.01
2521,22,500g Pasta Rigate,Extras,Dough,2019-04-11,32,226.0,158,0,2.88,-0.01
1331,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-04-11,29,87.0,41,0,0.89,-0.0
1093,12,45g Pasta,Spices,Spices II,2019-04-11,4,9.0,9,0,3.99,0.0
652,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-11,30,60.0,51,0,15.64,-0.35
2333,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-11,57,457.0,220,0,1.33,-0.03
2203,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-11,10,18.0,11,0,4.18,-0.01
1758,4,500g Speciality Pasta,Extras,Dough,2019-04-11,60,386.0,279,0,1.46,-0.0
2464,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-04-11,32,104.0,45,0,0.65,-0.17
1508,11,200g Green Pepper,Spices,Spices I,2019-04-11,15,20.0,18,0,13.49,0.0
305,6,80g Bio Pepper Whole,Spices,Spices II,2019-04-11,36,65.0,63,0,3.91,-0.0
394,7,30g Bio Thyme,Spices,Spices II,2019-04-11,40,76.0,75,0,2.91,-0.0
2137,8,40g Chilli Pepper,Spices,Spices I,2019-04-11,1,5.0,5,1,2.49,0.0
833,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-11,58,214.0,150,0,1.39,-0.0
1190,5,30g Bio Savoury Spices,Spices,Spices II,2019-04-11,9,13.0,13,1,2.72,0.0
2090,19,190g Chilli Flakes,Spices,Spices I,2019-04-11,19,31.0,28,0,6.79,0.0
600,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-04-11,29,99.0,41,0,0.78,-0.0
859,24,1kg Gnocchi,Extras,Dough,2019-04-11,31,169.0,69,0,2.99,0.0
45,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-11,30,120.0,50,0,0.88,-0.01
1912,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-11,55,404.0,230,0,1.96,-0.03
163,13,500g Indian Curry,Spices,Spices I,2019-04-11,59,154.0,140,0,6.76,-0.0
1376,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-11,66,450.0,287,0,3.49,-0.0
1663,15,500g Penne,Extras,Dough,2019-04-11,57,454.0,263,0,1.77,-0.0
483,9,Spiced Salt for Meat,Spices,Spices I,2019-04-11,11,17.0,17,0,6.9,-0.09
1844,16,500g Spaghetti,Extras,Dough,2019-04-11,63,850.0,442,0,1.77,-0.0
1032,21,80g Granulated Onion,Spices,Spices II,2019-04-11,46,117.0,111,0,2.92,-0.01
1316,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-04-18,16,54.0,20,0,0.85,-0.04
1241,5,30g Bio Savoury Spices,Spices,Spices II,2019-04-18,7,8.0,7,1,2.72,0.0
1126,12,45g Pasta,Spices,Spices II,2019-04-18,3,7.0,7,0,3.96,-0.03
270,6,80g Bio Pepper Whole,Spices,Spices II,2019-04-18,38,57.0,55,0,3.89,-0.01
2154,8,40g Chilli Pepper,Spices,Spices I,2019-04-18,2,7.0,7,0,2.49,0.0
2545,22,500g Pasta Rigate,Extras,Dough,2019-04-18,33,171.0,104,0,2.86,-0.03
1427,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-18,58,277.0,187,0,3.48,-0.01
369,7,30g Bio Thyme,Spices,Spices II,2019-04-18,28,45.0,43,0,2.91,-0.0
2478,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-04-18,21,63.0,25,0,0.81,-0.0
518,9,Spiced Salt for Meat,Spices,Spices I,2019-04-18,14,14.0,14,0,6.99,0.0
956,21,80g Granulated Onion,Spices,Spices II,2019-04-18,45,124.0,119,0,2.91,-0.01
15,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-18,26,94.0,35,0,0.88,-0.01
732,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-18,16,41.0,33,0,15.99,0.0
739,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-18,44,138.0,91,0,1.39,-0.0
1543,11,200g Green Pepper,Spices,Spices I,2019-04-18,15,20.0,16,0,13.49,0.0
2353,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-18,51,267.0,159,0,1.36,-0.0
1919,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-18,49,277.0,145,0,1.96,-0.03
2003,19,190g Chilli Flakes,Spices,Spices I,2019-04-18,19,25.0,24,0,6.79,0.0
1787,16,500g Spaghetti,Extras,Dough,2019-04-18,59,887.0,401,0,1.21,-0.56
940,24,1kg Gnocchi,Extras,Dough,2019-04-18,23,53.0,37,0,2.2,-0.79
2216,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-18,4,8.0,5,0,4.19,0.0
1611,15,500g Penne,Extras,Dough,2019-04-18,51,473.0,300,0,1.2,-0.57
157,13,500g Indian Curry,Spices,Spices I,2019-04-18,53,100.0,94,0,6.68,-0.0
583,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-04-18,40,321.0,84,0,0.46,0.0
1763,4,500g Speciality Pasta,Extras,Dough,2019-04-18,56,328.0,229,0,1.01,-0.46
92,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-25,16,60.0,20,0,0.89,-0.0
1864,16,500g Spaghetti,Extras,Dough,2019-04-25,56,449.0,246,0,1.75,-0.02
2437,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-04-25,26,95.0,33,0,0.81,0.0
511,9,Spiced Salt for Meat,Spices,Spices I,2019-04-25,5,6.0,5,0,6.29,-0.7
130,13,500g Indian Curry,Spices,Spices I,2019-04-25,67,171.0,143,0,6.07,-0.67
528,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-04-25,23,81.0,25,0,0.81,-0.0
1279,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-04-25,21,66.0,29,0,0.89,-0.0
824,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-25,40,129.0,76,0,1.38,-0.01
287,6,80g Bio Pepper Whole,Spices,Spices II,2019-04-25,31,54.0,52,0,3.49,-0.39
1384,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-25,54,203.0,122,0,3.49,-0.0
1243,5,30g Bio Savoury Spices,Spices,Spices II,2019-04-25,5,5.0,5,1,2.45,-0.27
2242,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-25,5,8.0,7,0,4.16,-0.03
2147,8,40g Chilli Pepper,Spices,Spices I,2019-04-25,1,1.0,1,1,2.49,0.0
1651,15,500g Penne,Extras,Dough,2019-04-25,54,291.0,177,0,1.77,-0.0
337,7,30g Bio Thyme,Spices,Spices II,2019-04-25,28,34.0,34,0,2.62,-0.29
948,21,80g Granulated Onion,Spices,Spices II,2019-04-25,50,126.0,116,0,2.6,-0.29
943,24,1kg Gnocchi,Extras,Dough,2019-04-25,29,99.0,58,0,2.99,0.0
2575,22,500g Pasta Rigate,Extras,Dough,2019-04-25,30,181.0,106,0,2.88,-0.01
1531,11,200g Green Pepper,Spices,Spices I,2019-04-25,28,63.0,45,0,12.14,-1.35
1935,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-25,44,174.0,82,0,1.99,-0.0
1710,4,500g Speciality Pasta,Extras,Dough,2019-04-25,59,258.0,167,0,1.47,-0.0
2009,19,190g Chilli Flakes,Spices,Spices I,2019-04-25,11,13.0,13,0,6.79,0.0
2394,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-04-25,47,303.0,123,0,1.35,-0.01
705,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-04-25,22,48.0,37,0,15.99,0.0
1204,5,30g Bio Savoury Spices,Spices,Spices II,2019-05-02,9,11.0,10,1,2.43,-0.29
795,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-05-02,38,110.0,78,0,1.38,-0.01
141,13,500g Indian Curry,Spices,Spices I,2019-05-02,63,124.0,108,0,6.03,-0.7
1822,16,500g Spaghetti,Extras,Dough,2019-05-02,56,525.0,273,0,1.76,-0.01
2063,19,190g Chilli Flakes,Spices,Spices I,2019-05-02,14,23.0,19,0,6.79,0.0
2392,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-05-02,46,306.0,119,0,1.36,-0.0
383,7,30g Bio Thyme,Spices,Spices II,2019-05-02,13,18.0,18,1,2.62,-0.29
1412,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-05-02,43,151.0,90,0,3.47,-0.02
718,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-05-02,24,48.0,42,0,15.99,0.0
460,9,Spiced Salt for Meat,Spices,Spices I,2019-05-02,7,7.0,7,0,6.29,-0.7
546,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-05-02,33,179.0,49,0,0.76,-0.01
99,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-05-02,14,46.0,17,0,0.88,-0.01
1094,12,45g Pasta,Spices,Spices II,2019-05-02,4,4.0,4,0,3.93,-0.06
917,24,1kg Gnocchi,Extras,Dough,2019-05-02,26,96.0,70,0,2.99,0.0
1634,15,500g Penne,Extras,Dough,2019-05-02,52,319.0,187,0,1.76,-0.01
2479,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-05-02,14,43.0,18,0,0.79,-0.01
1709,4,500g Speciality Pasta,Extras,Dough,2019-05-02,53,245.0,155,0,1.46,-0.01
1930,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-05-02,40,209.0,94,0,1.86,-0.13
2273,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-05-02,7,12.0,10,0,4.08,-0.1
2556,22,500g Pasta Rigate,Extras,Dough,2019-05-02,31,204.0,108,0,2.88,-0.01
960,21,80g Granulated Onion,Spices,Spices II,2019-05-02,47,100.0,92,0,2.59,-0.3
2108,8,40g Chilli Pepper,Spices,Spices I,2019-05-02,2,2.0,2,0,2.49,0.0
1540,11,200g Green Pepper,Spices,Spices I,2019-05-02,33,75.0,55,0,12.12,-1.37
221,6,80g Bio Pepper Whole,Spices,Spices II,2019-05-02,30,51.0,49,0,3.49,-0.39
1267,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-05-02,22,59.0,25,0,0.89,-0.0
442,9,Spiced Salt for Meat,Spices,Spices I,2019-05-09,4,6.0,5,0,6.99,0.0
1313,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-05-09,26,79.0,36,0,0.88,-0.01
1982,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-05-09,47,241.0,121,0,1.71,-0.28
351,7,30g Bio Thyme,Spices,Spices II,2019-05-09,27,42.0,41,0,2.9,-0.01
1504,11,200g Green Pepper,Spices,Spices I,2019-05-09,35,63.0,50,0,13.49,0.0
